,height,tss,part,nss,ss
524,15.72,1138.809,1119.54,17.84,1.429
525,15.75,1139.466,1120.232,17.817,1.417
526,15.78,1140.14,1120.939,17.795,1.405
527,15.81,1140.822,1121.659,17.77,1.394
528,15.84,1141.513,1122.385,17.747,1.382
529,15.87,1142.212,1123.12,17.722,1.37
530,15.9,1142.91,1123.86,17.693,1.358
531,15.93,1143.619,1124.606,17.667,1.346
532,15.96,1144.347,1125.375,17.638,1.334
533,15.99,1145.099,1126.159,17.618,1.322
534,16.02,1145.859,1126.948,17.6,1.311
535,16.05,1146.633,1127.748,17.587,1.299
536,16.08,1147.409,1128.555,17.567,1.288
537,16.11,1148.188,1129.368,17.543,1.276
538,16.14,1148.998,1130.216,17.517,1.265
539,16.17,1149.824,1131.072,17.498,1.254
540,16.2,1150.656,1131.936,17.477,1.243
541,16.23,1151.478,1132.804,17.444,1.23
542,16.26,1152.302,1133.676,17.409,1.217
543,16.29,1153.146,1134.567,17.378,1.201
544,16.32,1153.998,1135.49,17.324,1.184
545,16.35,1154.878,1136.418,17.291,1.169
546,16.38,1155.66,1137.353,17.146,1.161
547,16.41,1156.452,1138.294,17.004,1.154
548,16.44,1157.252,1139.253,16.853,1.146
549,16.47,1158.098,1140.231,16.728,1.138
550,16.5,1158.938,1141.232,16.576,1.131
551,16.53,1159.764,1142.246,16.395,1.123
552,16.56,1160.592,1143.266,16.211,1.115
553,16.59,1161.459,1144.297,16.054,1.108
554,16.62,1162.305,1145.344,15.86,1.101
555,16.65,1163.138,1146.422,15.623,1.093
556,16.68,1163.998,1147.517,15.395,1.086
557,16.71,1164.858,1148.628,15.152,1.078
558,16.74,1165.754,1149.748,14.938,1.068
559,16.77,1166.619,1150.877,14.685,1.056
560,16.8,1167.51,1152.028,14.44,1.043
561,16.83,1168.432,1153.206,14.191,1.034
562,16.86,1169.265,1154.406,13.83,1.028
563,16.89,1170.116,1155.618,13.477,1.022
564,16.92,1170.989,1156.843,13.13,1.016
565,16.95,1171.92,1158.099,12.811,1.01
566,16.98,1172.869,1159.381,12.484,1.004
567,17.01,1173.845,1160.687,12.159,0.998
568,17.04,1174.876,1162.003,11.88,0.992
569,17.07,1175.946,1163.342,11.617,0.987
570,17.1,1177.051,1164.716,11.354,0.981
571,17.13,1178.216,1166.138,11.103,0.975
572,17.16,1179.394,1167.578,10.846,0.97
573,17.19,1180.572,1169.033,10.575,0.964
574,17.22,1181.728,1170.496,10.274,0.959
575,17.25,1182.935,1171.965,10.017,0.953
576,17.28,1184.113,1173.361,9.803,0.948
577,17.31,1185.228,1174.707,9.579,0.943
578,17.34,1186.294,1176.012,9.344,0.938
